,species,decimalLatitude,decimalLongitude
1912,Quercus alba,37.366421,-76.551393
546,Asimina triloba,37.366489,-76.551227
1681,Paulownia tomentosa,37.366814,-76.551831
2282,Quercus virginiana,37.368575,-76.312728
2332,Sassafras albidum,37.36885,-76.31388
2330,Sassafras albidum,37.36885,-76.313797
1755,Pinus taeda,37.36897,-76.313172
2349,Sassafras albidum,37.369065,-76.58919
532,Asimina triloba,37.369707,-76.48239
1929,Quercus alba,37.37859,-76.584068
1108,Fagus grandifolia,37.379154,-76.587112
828,Diospyros virginiana,37.379233,-76.533642
1404,Liquidambar styraciflua,37.379505,-76.582077
558,Asimina triloba,37.383315,-76.540917
1476,Liriodendron tulipifera,37.384973,-76.445626
273,Acer rubrum,37.387112,-76.579346
1532,Nyssa sylvatica,37.388438,-76.277707
2317,Sassafras albidum,37.389448,-76.348131
563,Asimina triloba,37.391682,-76.548657
728,Castanea dentata,37.391857,-76.54902
2103,Quercus rubra,37.397079,-76.527145
562,Asimina triloba,37.398758,-76.46456
1514,Magnolia virginiana,37.39907,-76.46368
2335,Sassafras albidum,37.402805,-76.618591
539,Asimina triloba,37.406383,-76.522787
845,Fagus grandifolia,37.408017,-76.647788
2336,Sassafras albidum,37.408591,-76.647388
551,Asimina triloba,37.408664,-76.519588
1811,Platanus occidentalis,37.408737,-76.627731
782,Cornus florida,37.40907,-76.648055
1518,Magnolia virginiana,37.409313,-76.647737
744,Cercis canadensis,37.409503,-76.647955
1332,Juglans nigra,37.410275,-76.646988
1396,Liquidambar styraciflua,37.410394,-76.650827
974,Fagus grandifolia,37.411034,-76.643051
1521,Magnolia virginiana,37.411215,-76.648755
1995,Quercus michauxii,37.411755,-76.652276
1309,Ilex opaca,37.412287,-76.64563
1376,Liquidambar styraciflua,37.412327,-76.648003
797,Diospyros virginiana,37.412355,-76.645217
1334,Juglans nigra,37.412416,-76.651799
1314,Ilex opaca,37.412495,-76.648026
1921,Quercus alba,37.412573,-76.644147
1426,Liquidambar styraciflua,37.412582,-76.644158
1371,Liquidambar styraciflua,37.412647,-76.64495
1765,Pinus taeda,37.412743,-76.649743
2362,Sassafras albidum,37.412932,-76.647917
327,Acer rubrum,37.412952,-76.641533
765,Cornus florida,37.41307,-76.649286
1784,Pinus taeda,37.413237,-76.64431
2013,Quercus nigra,37.413321,-76.644144
779,Cornus florida,37.413362,-76.647605
1535,Nyssa sylvatica,37.41339,-76.644138
1087,Fagus grandifolia,37.413408,-76.643598
1961,Quercus falcata,37.413813,-76.64483
2081,Quercus rubra,37.413813,-76.64483
550,Asimina triloba,37.414,-76.653846
2361,Sassafras albidum,37.41417,-76.654094
1917,Quercus alba,37.414219,-76.653856
1284,Ilex opaca,37.414367,-76.643349
1470,Liriodendron tulipifera,37.414367,-76.643349
2249,Quercus virginiana,37.414682,-76.528486
948,Fagus grandifolia,37.414812,-76.580772
335,Acer rubrum,37.414867,-76.640733
301,Acer rubrum,37.414885,-76.640938
1760,Pinus taeda,37.414965,-76.640723
