"","Species","EOO.norm","EOO.norm.issues","EOO.alpha","EOO.alpha.issue","nLocations","centroidX","centroidY","latRange","greatCircDist","meanPairDist","minSpanTree"
"112","Sassafras albidum",2905963,NA,156920,NA,36187,-80.30835,38.97603,16.33562,2735.399,782.945,96753.31
"113","Taxodium distichum",2362850,NA,173478,NA,10076,-87.21854,31.49125,13.94453,2500.331,946.706,33874.78
"114","Tilia americana",3094554,NA,174509,NA,26298,-76.55258,41.45295,14.38098,2589.041,473.0916,54934.77
"115","Triadica sebifera",1862176,NA,146922,NA,13024,-91.47217,30.98455,10.95623,2409.226,694.3547,35317.56
"116","Tsuga canadensis",2322517,NA,172497,NA,30476,-77.40999,41.62808,14.10167,2227.455,680.5846,55254.44
"117","Tsuga caroliniana",42186,NA,21046.6,NA,480,-81.9597,35.88805,2.842818,508.4282,120.3532,1452.337
"118","Ulmus alata",1980393,NA,142131,NA,4307,-88.61415,34.04116,11.6683,2221.862,736.7888,33865.37
"119","Ulmus americana",5836919,NA,320074,NA,22141,-80.11265,39.70886,22.80175,3260.279,928.954,72610.05
"120","Ulmus crassifolia",688303,NA,82135,NA,9266,-97.38121,31.44235,10.65087,1377.398,230.7418,15004.69
"121","Ulmus rubra",3757107,NA,242091,NA,2805,-85.47801,39.11284,18.00128,3001.455,991.3115,40086.1
"122","Ulmus thomasii",1808297,NA,93636,NA,258,-87.15886,43.7356,12.30152,1967.216,678.6246,8138.869
