"","species","n","full_r2","full_constrained_var","full_unconstrained_var","geo_cor","lat_r2","lat_constrained_var","lat_unconstrained_var","long_r2","long_constrained_var","long_unconstrained_var","full_anova_p_value","full_anova_lat_p_value","full_anova_long_p_value","lat_anova_p_value","long_anova_p_value"
"74","Pinus_rigida",306,0.231961800268522,0.236998116332335,0.763001883667663,0.652207722232624,0.232502079679621,0.235018466303622,0.764981533696375,0.117735178163501,0.120627849710506,0.879372150289493,0.001,0.001,0.429,0.001,0.001
"75","Pinus_serotina",339,0.497314113554884,0.500288586255742,0.499711413744258,0.698897006956842,0.385386493177181,0.387204876333461,0.612795123666539,0.247918787723028,0.250143880067043,0.749856119932957,0.001,0.001,0.001,0.001,0.001
"76","Pinus_strobus",2825,0.186375876058536,0.186952097109486,0.813047902890515,0.478274257667553,0.174207216953084,0.174499636493823,0.825500363506176,0.0703021136115174,0.0706313267440912,0.929368673255908,0.001,0.001,0.001,0.001,0.001
"77","Pinus_taeda",4928,0.552230073048513,0.55241183473999,0.447588165260014,0.822163211311493,0.473919214618152,0.474025989691296,0.525974010308709,0.389718300002023,0.3898421647676,0.6101578352324,0.001,0.001,0.001,0.001,0.001
"78","Pinus_virginiana",2250,0.365986749830698,0.366550567749923,0.633449432250076,0.521689724338608,0.312711500995256,0.313017098371425,0.686982901628576,0.120969715285203,0.12136056912456,0.87863943087544,0.001,0.001,0.001,0.001,0.001
"79","Planera_aquatica",417,0.542073150747073,0.544274722137712,0.455725277862286,-0.0979801977831716,0.397231966302129,0.398680927921595,0.601319072078404,0.141051537384028,0.143116317342239,0.856883682657761,0.001,0.001,0.001,0.001,0.001
"80","Platanus_occidentalis",13439,0.57960503561994,0.579667603705128,0.420332396294877,0.618553683396002,0.468211396112965,0.468250969606333,0.531749030393666,0.320798735192319,0.320849278522041,0.679150721477958,0.001,0.001,0.001,0.001,0.001
"81","Populus_deltoides",5366,0.709399073366787,0.709507405492279,0.290492594507718,0.422627884813538,0.467204804452887,0.467304113902197,0.5326958860978,0.348429299638755,0.34855074804516,0.65144925195484,0.001,0.001,0.001,0.001,0.001
"82","Populus_grandidentata",128,0.282252593569685,0.293555702332367,0.706444297667632,0.518283603045265,0.254879695831349,0.260746784840551,0.739253215159449,0.144341605436923,0.151079073110648,0.848920926889351,0.001,0.001,0.003,0.001,0.001
"83","Populus_heterophylla",257,0.60975093472876,0.612799755551191,0.387200244448809,-0.0785695250121311,0.443839580785708,0.446012082423264,0.553987917576736,0.163981028551045,0.167246727658268,0.832753272341732,0.001,0.001,0.001,0.001,0.001
"84","Populus_tremuloides",3221,0.340904547655389,0.341313923712746,0.658686076287255,-0.357580397798698,0.207146349027288,0.207392576869205,0.792607423130795,0.0987989299032332,0.099078806011959,0.900921193988039,0.001,0.001,0.001,0.001,0.001
"85","Prunus_americana",454,0.461152381639337,0.463531399821945,0.536468600178055,-0.397701184510974,0.340312747799237,0.341769011049128,0.658230988950872,0.271029683719548,0.272638889715752,0.727361110284248,0.001,0.001,0.001,0.001,0.001
"86","Prunus_pensylvanica",109,0.428180089297969,0.438769346903562,0.561230653096437,-0.233687870425635,0.310665968322388,0.317048690837921,0.682951309162078,0.15795957143217,0.165756242067057,0.834243757932943,0.001,0.001,0.001,0.001,0.001
"87","Prunus_serotina",6898,0.439685361613675,0.439847842297563,0.560152157702445,0.260000083950806,0.326643478889132,0.32674110923872,0.673258890761288,0.0841327922575817,0.084265584371217,0.915734415628782,0.001,0.001,0.001,0.001,0.001
"88","Prunus_virginiana",366,0.35861230621488,0.36212675933151,0.637873240668489,0.262188421896729,0.0656109620165329,0.0681709319836109,0.931829068016389,0.274686932996123,0.276674092083805,0.723325907916196,0.001,0.001,0.001,0.001,0.001
"89","Quercus_alba",6707,0.454499164527129,0.454661854904544,0.545338145095454,0.390396726906909,0.417862571187947,0.417949379632446,0.582050620367552,0.102577027133275,0.102710851018283,0.897289148981718,0.001,0.001,0.001,0.001,0.001
